name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,"School registration window Aug 24 - Oct 31, 2026; student/project registration due Feb 15, 2027 (11:59 pm); abstracts due Mar 1, 2027","Students in grades 7-12 residing in, or enrolled in, Connecticut schools and Fishers Island","Free (volunteer-run, donation supported)","Free to enter; special awards and mini-grants (e.g., Urban School Challenge Mini-Grant) available",Strong fit for biology research projects; 2027 fair fully remote (judging via Zoom); CSEF is the CT pathway to major national science competitions.,https://ctsciencefair.org,"ctsciencefair.org + ctsciencefair.org/registration (fetched Aug 3, 2026)"
"Connecticut High School Science and Humanities Symposium (CT HSSHS, formerly CT JSHS)",ct_local,🟢 Watch List,2027 date TBD (2026 symposium was Feb 28); registration info typically posted by mid-November - check ctjshs.com,CT high school students in grades 9-12 with original STEM research,Free (no attendance fee),Free; no fee,"Federal JSHS program is suspended, but CT AHEC runs its own nearly identical symposium; 2026 top finishers advanced to the Interregional JSHS. Watch ctjshs.com in Nov 2026 for 2027 registration.",https://h.uconn.edu/ct-hsshs,"ctjshs.com + health.uconn.edu (fetched Aug 3, 2026)"
Yale Pathways to Science,ct_local,🟢 Watch List,Teacher nominations in spring; Scholar applications in June; decisions announced late August,"Students entering grades 6-12 in New Haven, West Haven, and Orange/Amity public schools",Free,Free - all programming at no cost,"Highest-value Yale exposure for CT students if district-eligible (free research experiences at Yale labs, summer research placements for qualifying juniors/seniors); email yalepathways@yale.edu with questions.",https://onha.yale.edu/public-schools-and-youth/yale-pathways-to-science,"onha.yale.edu (fetched Aug 3, 2026)"
NE FIRST / Connecticut FIRST Robotics (FRC),ct_local,🟢 Watch List,FRC 2027 season team registration typically opens ~Sept 2026; build season starts Jan 2027; regional competitions Mar-Apr 2027,CT high school students (grades 9-12) via a school or community FRC team,Team-dependent (team fees/fundraising; typically a few hundred dollars per student or less with team fundraising),"FIRST offers rookie grants, fundraising tools, and financial aid; many CT teams fully subsidize student costs",Strong STEM + leadership resume builder; CT has many active FRC teams; start team conversations in September 2026 for the 2027 season.,https://www.nefirst.org,"nefirst.org (fetched Aug 3, 2026)"
UConn Early College Experience (ECE),ct_local,🟢 Watch List,Enrollment through your high school each semester; spring-course registration typically Oct-Feb (drop deadlines ~Oct 16 / Feb 6),CT high school students at UConn ECE partner high schools,"$50 per course credit (e.g., $150 for a 3-credit course)",Full program-fee waiver for students eligible for free/reduced-price meals or categorically eligible (SNAP/TANF); need-based reductions for private school students,Excellent way to build a college biology transcript in 11th grade; credit transfers to UConn and most colleges; also sponsors CT Science Olympiad.,https://ece.uconn.edu,"ece.uconn.edu + ece.uconn.edu/program-fees (fetched Aug 3, 2026)"
Connecticut Science Olympiad (CTSO),ct_local,🟢 Watch List,Team registration typically fall 2026; state tournament ~March 2027 (2026 was Mar 14),"CT high school students via school teams (up to 15 members per team, 2 teams per school)","School/team registration fee (varies, nominal)",Low-cost team event; schools typically cover fees,"Strong biology fit (events like Disease Detectives, Anatomy & Physiology); only CT qualifier for Science Olympiad Nationals.",https://www.ctscioly.org,"ctscioly.org + ece.uconn.edu/about/events-awards/ct-science-olympiad (fetched Aug 3, 2026)"
Connecticut High School Mock Trial Competition (CT Bar Association),ct_local,🟢 Watch List,Team registration typically Sept - Nov (2024-25 registration window was Sep 13 - Nov 10); season runs Dec - Mar,"CT high school teams (grades 9-12), organized through a school or community group",Nominal team registration fee (pay-later/fee-waiver registration option offered),Fee waiver / pay-later option available,"Perfect fit for a law interest: witness roles, opening/closing statements, objections; state champions advance to national-level competition.",https://www.ctbar.org/members/volunteer-today/civics-education/mock-trial-competitions,"ctbar.org + sidebar.ctbar.org events (fetched Aug 3, 2026)"
Connecticut Envirothon,ct_local,🟢 Watch List,Team registration typically opens fall 2026; 2026 Field Day was May 21 (2027 date TBD),CT high school students via 5-person school teams (middle school division also exists),Minimal team registration fee,Low-cost; schools often cover fees; virtual training content is free,Hands-on environmental science with expert-led workshops - strong biology/environment fit; also offers an annual t-shirt design contest.,https://www.ctenvirothon.org,"ctenvirothon.org (fetched Aug 3, 2026)"
Connecticut History Day (National History Day CT),ct_local,🟢 Watch List,Registration typically opens fall 2026; state contest ~April-May 2027,CT students in grades 6-12,Minimal registration fee,Low-cost; school support typical,"Fits law/history interest - students often choose landmark trials, constitutional issues, and civil-rights topics; strong writing/research credential.",https://ct.nhd.org,"ct.nhd.org (fetched Aug 3, 2026)"
New England Math Match (NEAML - New England Association of Math Leagues),ct_local,🟢 Watch List,CT state math match ~March 2027; NEAML match late April 2027,CT high school math team members; teams qualify via CT leagues and the CT state match (top 2-3 schools per league auto-qualify),Minimal (school-sponsored),Low-cost school team activity,Regional math team competition across New England; past NEAML problems/solutions available on ctstatemath.org for practice.,https://www.ctstatemath.org/new-england-match/,"ctstatemath.org + k12mathcontests.com (fetched Aug 3, 2026)"
