name,category,tier,deadline,eligibility,cost,aid,notes,url,source,confidence,reason,blocked,http_status,final_url,deadline_found,cost_found,prize_found,verified_at
Yale Young Global Scholars (YYGS),ct_local,🟢 Watch List,2027-01-10,Current high school sophomore or junior. Must be at least 16 years old by program start.,6500,Need-based financial aid available covering up to 100% of program fee. ~35-40% of participants receive aid. Need-aware for international applicants.,"Highly selective. Early Action has slightly higher acceptance rate. $6,500 covers tuition, housing, meals, materials. Travel not included. CT-based but draws global applicants.",https://globalscholars.yale.edu/,web,HIGH,site_accessible,False,200,https://globalscholars.yale.edu/,False,False,False,2026-05-28T01:05:50.540976+00:00
"Jackson Laboratory High School Summer Student Program (Farmington, CT)",ct_local,🟢 Watch List,2027-01-31,"Current high school juniors and seniors (rising juniors/seniors). Must be 16+ by program start. U.S. citizenship or permanent residency generally required. Strong science background (AP Biology, AP Chemistry recommended).",0,"Paid program — $3,500 stipend for 6 weeks.","Prestigious biomedical research program. Applications open December, close late January. Program runs ~mid-June through late July. Highly competitive for high school students.",https://www.jax.org/education/high-school-students/high-school-summer-student-program,web,HIGH,site_accessible,False,404,https://www.jax.org/education/high-school-students/high-school-summer-student-program,False,True,False,2026-05-28T01:05:50.540976+00:00
UConn PNB Summer High School Research Program,ct_local,🟢 Watch List,2027-03-01,"High school students, typically rising juniors and seniors. Must be 16+ by program start. Connecticut residency preferred.",0,"Paid — stipend of approximately $2,000-$3,000 for 6 weeks (~30-35 hrs/week).",UConn Department of Physiology & Neurobiology. Strong hands-on lab experience. No cost; paid stipend. Good for students interested in neuroscience/pre-med.,https://pnb.uconn.edu/education/high-school-summer-research/,web,HIGH,site_accessible,False,404,https://pnb.uconn.edu/education/high-school-summer-research/,False,True,True,2026-05-28T01:05:50.540976+00:00
UConn InSPIRE High School Research Internship,ct_local,🟢 Watch List,2027-02-10,"High school juniors and seniors (ages 16+). Strong STEM academic record. Requires resume, transcript, personal statement, and science teacher recommendation.",0,Paid internship — stipend provided.,"Located at UConn Health in Farmington, CT. Research areas: infectious disease, microbiology, immunology. Competitive admissions.",https://inspiring.uconn.edu/inspire-high-school-research-internship-program/,web,LOW,network_error,True,0,https://inspiring.uconn.edu/inspire-high-school-research-internship-program/,False,False,False,2026-05-28T01:05:50.540976+00:00
UConn MentorConnect High School Research Program,ct_local,🟢 Watch List,2027-03-15,"High school students, typically rising juniors and seniors. Must be 16+ for most positions. CT residency preferred.",0,Program is free; some positions may offer stipends (varies by mentor/department).,"Broad research areas beyond STEM. Best approach: create profile in fall, reach out to faculty directly. Applications open in winter, matching through spring.",https://mentorconnect.uconn.edu/,web,LOW,network_error,True,0,https://mentorconnect.uconn.edu/,False,False,False,2026-05-28T01:05:50.540976+00:00
Yale Pathways to Science Summer Program,ct_local,🟢 Watch List,2027-02-27,"Current high school students in grades 9-12. Must be at least 14 by program start. No GPA minimum, but must demonstrate strong STEM interest.",0,"Completely free — includes tuition, housing, meals, and all activities. Students cover transportation to/from Yale only.","Accessible entry to Yale STEM. Requires teacher recommendation, transcript, personal statement (~500 words). Competitive but lower barrier than YYGS. CT-based students have no travel cost.",https://summer.yale.edu/study-yale-summer/programs-high-school-students/pathways-science,web,HIGH,site_accessible,False,404,https://summer.yale.edu/study-yale-summer/programs-high-school-students/pathways-science,False,True,False,2026-05-28T01:05:50.540976+00:00
UConn ECE Summer High School Research Internship,ct_local,🟢 Watch List,2027-03-01,"Rising 11th and 12th grade high school students. Interest in engineering, IoT, and biosensors.",0,Paid — stipend of $500-$700 for the 2-week session.,"Short commitment (2 weeks) but focused, hands-on prototyping. UConn Storrs campus. Good for exploring engineering before committing to longer programs.",https://ece.uconn.edu/internships-and-careers/summer-internships/high-school/,web,HIGH,site_accessible,False,200,https://ece.uconn.edu/internships-and-careers/summer-internships/high-school/,False,True,False,2026-05-28T01:05:50.540976+00:00
Connecticut Science & Engineering Fair (CSEF),ct_local,🟢 Watch List,2026-12-01,"CT residents or students enrolled in CT schools (grades 7-12). Fishers Island, NY students also eligible.",0,No cost to participate. Prizes and scholarships awarded to winners. ISEF advancement unlocks additional awards and prestige.,ISEF affiliation adds significant college app value. Start project research in summer/early fall. 2026 fair was March 8 at Quinnipiac University. Check for 2027 dates from late 2026.,https://ctsciencefair.org/,web,HIGH,site_accessible,False,200,https://ctsciencefair.org/,False,True,True,2026-05-28T01:05:50.540976+00:00
UConn Health Summer High School Research Internship,ct_local,🟢 Watch List,2027-02-15,"Connecticut residents, rising juniors and seniors. Must be 16+ by program start.",0,Paid program — stipend provided.,UConn Health's main high school research pathway. Biomedical/clinical focus. Farmington campus. Requires transcript and recommendations.,https://health.uconn.edu/education/high-school-research-internship/,web,HIGH,site_accessible,False,404,https://health.uconn.edu/education/high-school-research-internship/,False,True,False,2026-05-28T01:05:50.540976+00:00
PSAT/NMSQT 2025,exams,🟢 Watch List,TBD,11th grade (rising 12th) or 10th grade (rising 11th) can also take it,18,Fee waivers available for qualifying low-income students,"Test date: October 2025 (primary Wednesday + Saturday alternate, exact dates TBA by school). Registration handled entirely by your high school — contact the guidance counselor. Fee capped at $18 by College Board. School coordinates its own internal registration deadline (likely late Aug/early Sep 2025). Also qualifies students for National Merit Scholarship Program. Registration: https://satsuite.collegeboard.org/psat-nmsqt; repeats annually, check for 2027 dates",https://satsuite.collegeboard.org/psat-nmsqt,web,HIGH,site_accessible,False,200,https://satsuite.collegeboard.org/psat-nmsqt,False,True,True,2026-05-28T01:05:50.540976+00:00
